Pair,Executor,Dir,Size,Entry,Close,StopLoss,TakeProfit,PnL,Reason,Duration,Status,CloseTime
DOGE/USDT,Agent,Buy,2104.15781,0.084792,0.083602,0.083517,0.086560,-2.68,Manual,3h 13m,Closed,7 Jun 9:17 PM
ADA/USDT,Smart,Buy,4292,0.1626,0.1622,0.1615,0.1639,-2.41,Manual,3h 26m,Closed,7 Jun 9:06 PM
ETH/USDT,Smart,Buy,0.3701,1627.14,1629.30,1617.38,1641.77,0.20,Manual,4h 0m,Closed,7 Jun 9:03 PM
ADA/USDT,Smart,Sell,11817,0.1625,0.1631,0.1639,0.1600,-8.58,Manual,4h 0m,Closed,7 Jun 8:03 PM
BNB/USDT,Smart,Buy,1.019,590.84,595.50,587.30,596.15,4.15,Manual,2h 18m,Closed,7 Jun 7:21 PM
SOL/USDT,Agent,Sell,2.72,65.07,65.48,65.34,62.44,-1.27,SL,2h 42m,Closed,7 Jun 7:14 PM
BTC/USDT,Agent,Sell,0.00287,62218.80,62033.98,63298.07,61046.36,0.35,Manual,4h 0m,Closed,7 Jun 6:12 PM
DOGE/USDT,Agent,Sell,2103.73912,0.084425,0.084755,0.085534,0.082492,-0.87,Manual,4h 0m,Closed,7 Jun 6:04 PM
BNB/USDT,Smart,Sell,10.055,591.35,590.72,600.46,582.62,0.42,Manual,6h 15m,Closed,7 Jun 5:03 PM
SOL/USDT,Smart,Sell,10.4,64.37,65.04,65.07,63.14,-7.74,SL,2h 19m,Closed,7 Jun 4:30 PM
ADA/USDT,Smart,Sell,5756,0.1613,0.1626,0.1624,0.1600,-8.63,SL,1h 35m,Closed,7 Jun 4:02 PM
ETH/USDT,Agent,Sell,0.108,1635.92,1619.95,1657.90,1598.92,1.55,Manual,4h 0m,Closed,7 Jun 3:02 PM
ADA/USDT,Smart,Sell,10338,0.1659,0.1630,0.1680,0.1630,28.75,TP,3h 2m,Closed,7 Jun 2:10 PM
SOL/USDT,Smart,Sell,43.21,65.64,64.49,66.50,64.52,46.89,TP,3h 4m,Closed,7 Jun 2:10 PM
BTC/USDT,Agent,Sell,0.00286,62263.01,62654.62,63402.19,59672.64,-1.30,Manual,4h 0m,Closed,7 Jun 2:04 PM
DOGE/USDT,Agent,Sell,2107.17772,0.084779,0.084609,0.085981,0.082169,0.18,Manual,4h 0m,Closed,7 Jun 2:04 PM
XRP/USDT,Smart,Sell,1367,1.1622,1.1511,1.1771,1.1421,13.54,Manual,57m,Closed,7 Jun 12:05 PM
ADA/USDT,Smart,Sell,11692,0.1646,0.1660,0.1659,0.1610,-18.50,SL,21m,Closed,7 Jun 11:08 AM
XRP/USDT,Smart,Sell,1510,1.1487,1.1511,1.1615,1.1270,-5.36,Manual,15m,Closed,7 Jun 11:07 AM
